,period_open,period_close,orders,longs_count,pnl,short_exposure,returns,ending_cash,starting_cash,long_exposure,portfolio_value,starting_exposure,gross_leverage,ending_exposure,net_leverage,shorts_count,starting_value,transactions,long_value,positions,short_value,capital_used,ending_value,alpha,beta,benchmark_period_return,benchmark_volatility,sortino,algorithm_period_return,period_label,excess_return,max_drawdown,algo_volatility,max_leverage,trading_days,treasury_period_return,sharpe,weights
2020-12-30 21:00:00+00:00,2020-12-30 14:31:00+00:00,2020-12-30 21:00:00+00:00,[],1,14431.370000001043,0.0,0.0014267888062891032,95.9933956439767,95.9933956439767,10128915.71,10129011.703395644,10114484.34,0.9999905229257845,10128915.71,0.9999905229257845,0,10114484.34,[],10128915.71,"[{'sid': Equity(2 [SPY]), 'amount': 27229, 'cost_basis': 367.25197424085917, 'last_sale_price': 371.99}]",0.0,0.0,10128915.71,,,0.0,0.0,32.33217827049282,0.012901170339564505,2020-12,0.0,-0.001904587652266741,0.044916438110941044,0.9999905229257845,11,0.0,6.562141739622373,"[0, 1, 0, 0, 0]"
2020-12-31 21:00:00+00:00,2020-12-31 14:31:00+00:00,2020-12-31 21:00:00+00:00,[],1,51462.80999999866,0.0,0.005080733590498987,95.9933956439767,95.9933956439767,10180378.52,10180474.513395643,10128915.71,0.9999905708328706,10180378.52,0.9999905708328706,0,10128915.71,[],10180378.52,"[{'sid': Equity(2 [SPY]), 'amount': 27229, 'cost_basis': 367.25197424085917, 'last_sale_price': 373.88}]",0.0,0.0,10180378.52,,,0.0,0.0,43.180005267771506,0.018047451339564535,2020-12,0.0,-0.001904587652266741,0.046425306504939125,0.9999905708328706,12,0.0,8.118010003296511,"[0, 1, 0, 0, 0]"
2021-01-04 21:00:00+00:00,2021-01-04 14:31:00+00:00,2021-01-04 21:00:00+00:00,[],1,-138595.6099999994,0.0,-0.013613865426177485,95.9933956439767,95.9933956439767,10041782.91,10041878.903395643,10180378.52,0.9999904406937619,10041782.91,0.9999904406937619,0,10180378.52,[],10041782.91,"[{'sid': Equity(2 [SPY]), 'amount': 27229, 'cost_basis': 367.25197424085917, 'last_sale_price': 368.79}]",0.0,0.0,10041782.91,,,0.0,0.0,1.3877523511353518,0.004187890339564682,2021-01,0.0,-0.013613865426177551,0.08000690981885193,0.9999905708328706,13,0.0,1.0497931187673342,"[0, 1, 0, 0, 0]"
2021-01-05 21:00:00+00:00,2021-01-05 14:31:00+00:00,2021-01-05 21:00:00+00:00,[],1,69161.66000000015,0.0,0.006887322648016836,95.9933956439767,95.9933956439767,10110944.57,10111040.563395644,10041782.91,0.9999905060814422,10110944.57,0.9999905060814422,0,10041782.91,[],10110944.57,"[{'sid': Equity(2 [SPY]), 'amount': 27229, 'cost_basis': 367.25197424085917, 'last_sale_price': 371.33}]",0.0,0.0,10110944.57,,,0.0,0.0,3.4629425354808454,0.011104056339564572,2021-01,0.0,-0.013613865426177551,0.08174293578055614,0.9999905708328706,14,0.0,2.4707110548649895,"[0, 1, 0, 0, 0]"
2021-01-06 21:00:00+00:00,2021-01-06 14:31:00+00:00,2021-01-06 21:00:00+00:00,[],1,60448.38000000082,0.0,0.005978452921931554,95.9933956439767,95.9933956439767,10171392.950000001,10171488.943395644,10110944.57,0.9999905625030733,10171392.950000001,0.9999905625030733,0,10110944.57,[],10171392.950000001,"[{'sid': Equity(2 [SPY]), 'amount': 27229, 'cost_basis': 367.25197424085917, 'last_sale_price': 373.55}]",0.0,0.0,10171392.950000001,,,0.0,0.0,5.128115814200879,0.01714889433956479,2021-01,0.0,-0.013613865426177551,0.08157752638167795,0.9999905708328706,15,0.0,3.5418697442977076,"[0, 1, 0, 0, 0]"
2021-01-07 21:00:00+00:00,2021-01-07 14:31:00+00:00,2021-01-07 21:00:00+00:00,[],1,151120.94999999925,0.0,0.01485730858490708,95.9933956439767,95.9933956439767,10322513.9,10322609.893395644,10171392.950000001,0.999990700666146,10322513.9,0.999990700666146,0,10171392.950000001,[],10322513.9,"[{'sid': Equity(2 [SPY]), 'amount': 27229, 'cost_basis': 367.25197424085917, 'last_sale_price': 379.1}]",0.0,0.0,10322513.9,,,0.0,0.0,9.254609853129597,0.03226098933956467,2021-01,0.0,-0.013613865426177551,0.0957704785343994,0.999990700666146,16,0.0,5.271781342882546,"[0, 1, 0, 0, 0]"
2021-01-08 21:00:00+00:00,2021-01-08 14:31:00+00:00,2021-01-08 21:00:00+00:00,[],1,58814.63999999873,0.0,0.005697652106143147,95.9933956439767,95.9933956439767,10381328.54,10381424.533395642,10322513.9,0.9999907533503389,10381328.54,0.9999907533503389,0,10322513.9,[],10381328.54,"[{'sid': Equity(2 [SPY]), 'amount': 27229, 'cost_basis': 367.25197424085917, 'last_sale_price': 381.26}]",0.0,0.0,10381328.54,,,0.0,0.0,10.574099985417373,0.038142453339564675,2021-01,0.0,-0.013613865426177551,0.0938138001249526,0.9999907533503389,17,0.0,5.965449124982355,"[0, 1, 0, 0, 0]"
2021-01-11 21:00:00+00:00,2021-01-11 14:31:00+00:00,2021-01-11 21:00:00+00:00,[],1,-69978.52999999933,0.0,-0.006740744468631155,95.9933956439767,95.9933956439767,10311350.01,10311446.003395643,10381328.54,0.9999906905980391,10311350.01,0.9999906905980391,0,10381328.54,[],10311350.01,"[{'sid': Equity(2 [SPY]), 'amount': 27229, 'cost_basis': 367.25197424085917, 'last_sale_price': 378.69}]",0.0,0.0,10311350.01,,,0.0,0.0,7.579218290749893,0.031144600339564787,2021-01,0.0,-0.013613865426177551,0.09699304749471385,0.9999907533503389,18,0.0,4.4764016468203485,"[0, 1, 0, 0, 0]"
2021-01-12 21:00:00+00:00,2021-01-12 14:31:00+00:00,2021-01-12 21:00:00+00:00,[],1,2178.320000000298,0.0,0.00021125262153165458,95.9933956439767,95.9933956439767,10313528.33,10313624.323395643,10311350.01,0.9999906925642593,10313528.33,0.9999906925642593,0,10311350.01,[],10313528.33,"[{'sid': Equity(2 [SPY]), 'amount': 27229, 'cost_basis': 367.25197424085917, 'last_sale_price': 378.77}]",0.0,0.0,10313528.33,,,0.0,0.0,7.427320332587507,0.031362432339564705,2021-01,0.0,-0.013613865426177551,0.09442093388470056,0.9999907533503389,19,0.0,4.385999237410772,"[0, 1, 0, 0, 0]"
2021-01-13 21:00:00+00:00,2021-01-13 14:31:00+00:00,2021-01-13 21:00:00+00:00,[],1,27773.580000000075,0.0,0.0026929020419135252,95.9933956439767,95.9933956439767,10341301.91,10341397.903395643,10313528.33,0.9999907175609584,10341301.91,0.9999907175609584,0,10313528.33,[],10341301.91,"[{'sid': Equity(2 [SPY]), 'amount': 27229, 'cost_basis': 367.25197424085917, 'last_sale_price': 379.79}]",0.0,0.0,10341301.91,,,0.0,0.0,7.863601340674379,0.034139790339564824,2021-01,0.0,-0.013613865426177551,0.09197806691939277,0.9999907533503389,20,0.0,4.646262058495389,"[0, 1, 0, 0, 0]"
