,period_open,period_close,pnl,long_value,positions,shorts_count,transactions,returns,ending_cash,starting_exposure,starting_value,orders,longs_count,long_exposure,portfolio_value,short_value,starting_cash,short_exposure,ending_exposure,ending_value,capital_used,gross_leverage,net_leverage,period_label,max_leverage,benchmark_period_return,benchmark_volatility,treasury_period_return,algorithm_period_return,trading_days,algo_volatility,sharpe,max_drawdown,alpha,beta,excess_return,sortino,weights
2022-05-09 20:00:00+00:00,2022-05-09 13:31:00+00:00,2022-05-09 20:00:00+00:00,-358434.72000000067,10836594.72,"[{'sid': Equity(2 [SPY]), 'amount': 27216, 'cost_basis': 367.42858426807766, 'last_sale_price': 398.17}]",0,[],-0.03201712724499295,63.65055999870674,11195029.440000001,11195029.440000001,[],1,10836594.72,10836658.37056,0.0,63.65055999870674,0.0,10836594.72,10836594.72,0.0,0.9999941263664662,0.9999941263664662,2022-05,0.9999951043374614,0.0,0.0,0.0,0.08366583705599684,352,0.16301901502617305,0.434420903851276,-0.16650187477549533,,,0.0,0.5933426918801926,"[0, 1, 0, 0, 0]"
2022-05-10 20:00:00+00:00,2022-05-10 13:31:00+00:00,2022-05-10 20:00:00+00:00,25038.72000000067,10861633.440000001,"[{'sid': Equity(2 [SPY]), 'amount': 27216, 'cost_basis': 367.42858426807766, 'last_sale_price': 399.09000000000003}]",0,[],0.0023105572902457627,63.65055999870674,10836594.72,10836594.72,[],1,10861633.440000001,10861697.09056,0.0,63.65055999870674,0.0,10861633.440000001,10861633.440000001,0.0,0.999994139906548,0.999994139906548,2022-05,0.9999951043374614,0.0,0.0,0.0,0.08616970905599675,353,0.16279632061341023,0.4439148904152372,-0.16650187477549533,,,0.0,0.6063410018815835,"[0, 1, 0, 0, 0]"
2022-05-11 20:00:00+00:00,2022-05-11 13:31:00+00:00,2022-05-11 20:00:00+00:00,-172549.44000000134,10689084.0,"[{'sid': Equity(2 [SPY]), 'amount': 27216, 'cost_basis': 367.42858426807766, 'last_sale_price': 392.75}]",0,[],-0.01588604787643777,63.65055999870674,10861633.440000001,10861633.440000001,[],1,10689084.0,10689147.650559999,0.0,63.65055999870674,0.0,10689084.0,10689084.0,0.0,0.9999940453100584,0.9999940453100584,2022-05,0.9999951043374614,0.0,0.0,0.0,0.0689147650559967,354,0.16313724017924525,0.37241559704541594,-0.1778476147966569,,,0.0,0.507260738511896,"[0, 1, 0, 0, 0]"
2022-05-12 20:00:00+00:00,2022-05-12 13:31:00+00:00,2022-05-12 20:00:00+00:00,-11158.559999998659,10677925.440000001,"[{'sid': Equity(2 [SPY]), 'amount': 27216, 'cost_basis': 367.42858426807766, 'last_sale_price': 392.34000000000003}]",0,[],-0.001043914853156025,63.65055999870674,10689084.0,10689084.0,[],1,10677925.440000001,10677989.09056,0.0,63.65055999870674,0.0,10677925.440000001,10677925.440000001,0.0,0.9999940390873732,0.9999940390873732,2022-05,0.9999951043374614,0.0,0.0,0.0,0.06779890905599695,355,0.1629102549566536,0.36733525321651667,-0.17870587188312828,,,0.0,0.5003364158001612,"[0, 1, 0, 0, 0]"
2022-05-13 20:00:00+00:00,2022-05-13 13:31:00+00:00,2022-05-13 20:00:00+00:00,255286.08000000007,10933211.520000001,"[{'sid': Equity(2 [SPY]), 'amount': 27216, 'cost_basis': 367.42858426807766, 'last_sale_price': 401.72}]",0,[],0.023907692528519986,63.65055999870674,10677925.440000001,10677925.440000001,[],1,10933211.520000001,10933275.17056,0.0,63.65055999870674,0.0,10933211.520000001,10933211.520000001,0.0,0.9999941782714689,0.9999941782714689,2022-05,0.9999951043374614,0.0,0.0,0.0,0.09332751705599684,356,0.16389506878510773,0.4673600353561811,-0.17870587188312828,,,0.0,0.6413267604035164,"[0, 1, 0, 0, 0]"
2022-05-16 20:00:00+00:00,2022-05-16 13:31:00+00:00,2022-05-16 20:00:00+00:00,-44362.080000000075,10888849.440000001,"[{'sid': Equity(2 [SPY]), 'amount': 27216, 'cost_basis': 367.42858426807766, 'last_sale_price': 400.09000000000003}]",0,[],-0.004057528902176921,63.65055999870674,10933211.520000001,10933211.520000001,[],1,10888849.440000001,10888913.09056,0.0,63.65055999870674,0.0,10888849.440000001,10888849.440000001,0.0,0.9999941545534003,0.9999941545534003,2022-05,0.9999951043374614,0.0,0.0,0.0,0.08889130905599685,357,0.16370573406878383,0.4490942682809906,-0.17870587188312828,,,0.0,0.6161622520521944,"[0, 1, 0, 0, 0]"
2022-05-17 20:00:00+00:00,2022-05-17 13:31:00+00:00,2022-05-17 20:00:00+00:00,223987.67999999784,11112837.12,"[{'sid': Equity(2 [SPY]), 'amount': 27216, 'cost_basis': 367.42858426807766, 'last_sale_price': 408.32}]",0,[],0.02057025142336566,63.65055999870674,10888849.440000001,10888849.440000001,[],1,11112837.12,11112900.770559998,0.0,63.65055999870674,0.0,11112837.12,11112837.12,0.0,0.9999942723721453,0.9999942723721453,2022-05,0.9999951043374614,0.0,0.0,0.0,0.11129007705599636,358,0.16435923822602663,0.5341565520175676,-0.17870587188312828,,,0.0,0.7368240106286047,"[0, 1, 0, 0, 0]"
2022-05-18 20:00:00+00:00,2022-05-18 13:31:00+00:00,2022-05-18 20:00:00+00:00,-447975.3599999994,10664861.76,"[{'sid': Equity(2 [SPY]), 'amount': 27216, 'cost_basis': 367.42858426807766, 'last_sale_price': 391.86}]",0,[],-0.040311289486788415,63.65055999870674,11112837.12,11112837.12,[],1,10664861.76,10664925.410559999,0.0,63.65055999870674,0.0,10664861.76,10664861.76,0.0,0.9999940317857323,0.9999940317857323,2022-05,0.9999951043374614,0.0,0.0,0.0,0.06649254105599667,359,0.16762747759542973,0.3534773085811615,-0.17971066066729044,,,0.0,0.4790569092963312,"[0, 1, 0, 0, 0]"
2022-05-19 20:00:00+00:00,2022-05-19 13:31:00+00:00,2022-05-19 20:00:00+00:00,-65318.39999999851,10599543.360000001,"[{'sid': Equity(2 [SPY]), 'amount': 27216, 'cost_basis': 367.42858426807766, 'last_sale_price': 389.46000000000004}]",0,[],-0.006124599796574537,63.65055999870674,10664861.76,10664861.76,[],1,10599543.360000001,10599607.01056,0.0,63.65055999870674,0.0,10599543.360000001,10599543.360000001,0.0,0.9999939950075568,0.9999939950075568,2022-05,0.9999951043374614,0.0,0.0,0.0,0.05996070105599682,360,0.16747839692160693,0.32721055652459646,-0.18473460458809982,,,0.0,0.4432993166751565,"[0, 1, 0, 0, 0]"
2022-05-20 20:00:00+00:00,2022-05-20 13:31:00+00:00,2022-05-20 20:00:00+00:00,4626.719999998808,10604170.08,"[{'sid': Equity(2 [SPY]), 'amount': 27216, 'cost_basis': 367.42858426807766, 'last_sale_price': 389.63}]",0,[],0.00043649920184685165,63.65055999870674,10599543.360000001,10599543.360000001,[],1,10604170.08,10604233.73056,0.0,63.65055999870674,0.0,10604170.08,10604170.08,0.0,0.9999939976275876,0.9999939976275876,2022-05,0.9999951043374614,0.0,0.0,0.0,0.060423373055996876,361,0.16724572640269103,0.3285799954171174,-0.18473460458809982,,,0.0,0.4451531583560105,"[0, 1, 0, 0, 0]"
